,Unnamed: 0,track_name,artist,album,release_date,explicit,track_id,track_uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,duration_ms,time_signature
17,17,hot girl bummer,blackbear,hot girl bummer,2019-08-23,True,7aiClxsDWFRQ0Kzk5KI5ku,spotify:track:7aiClxsDWFRQ0Kzk5KI5ku,0.778,0.5589999999999999,6,-7.109,0,0.0776,0.128,0.0,0.39899999999999997,0.6779999999999999,129.989,audio_features,185093,1
18,18,Pump It Up,Endor,Pump It Up,2019-09-13,False,0GiwV6v3AgJfdu59tj719Y,spotify:track:0GiwV6v3AgJfdu59tj719Y,0.899,0.894,1,-7.255,1,0.222,0.203,0.000101,0.0606,0.654,129.046,audio_features,150635,4
19,19,Memories,Maroon 5,Memories,2019-09-20,False,2b8fOow8UzyDFAE27YhOZM,spotify:track:2b8fOow8UzyDFAE27YhOZM,0.764,0.32,11,-7.209,1,0.0546,0.8370000000000001,0.0,0.0822,0.575,91.01899999999999,audio_features,189486,4
20,20,Lights Up,Harry Styles,Lights Up,2019-10-11,False,2plLJpUcYPFrl1sW2pMG63,spotify:track:2plLJpUcYPFrl1sW2pMG63,0.585,0.62,3,-8.09,0,0.0327,0.0426,0.00224,0.15,0.281,101.939,audio_features,172227,4
21,21,Audacity (feat. Headie One),Stormzy,Audacity (feat. Headie One),2019-12-11,True,3WcGdhN6wvGplwVyixNgfI,spotify:track:3WcGdhN6wvGplwVyixNgfI,0.6779999999999999,0.516,1,-4.601,1,0.444,0.0523,0.0,0.13,0.11,133.939,audio_features,245920,4
22,22,Up All Night,Khalid,Up All Night,2019-11-14,False,1mpD5Q8IM32I4bF6eCpU74,spotify:track:1mpD5Q8IM32I4bF6eCpU74,0.665,0.7120000000000001,1,-7.5360000000000005,1,0.0527,0.00103,0.0034200000000000003,0.102,0.669,93.98899999999999,audio_features,157220,4
23,23,Blinding Lights,The Weeknd,Blinding Lights,2019-11-29,False,0sf12qNH5qcw8qpgymFOqD,spotify:track:0sf12qNH5qcw8qpgymFOqD,0.513,0.7959999999999999,1,-4.075,1,0.0629,0.00147,0.00020899999999999998,0.0938,0.345,171.017,audio_features,201573,4
24,24,Must Be,J Hus,Must Be,2019-11-08,True,2n1oPHJVMPWJkjgHwVcksY,spotify:track:2n1oPHJVMPWJkjgHwVcksY,0.544,0.677,6,-5.011,1,0.342,0.0251,6.93e-06,0.24100000000000002,0.601,90.70100000000001,audio_features,207975,4
25,25,Better Half of Me,Tom Walker,What a Time To Be Alive (Deluxe Edition),2019-11-08,False,4VPlKUSjC9HdZdUbFZ0Y5y,spotify:track:4VPlKUSjC9HdZdUbFZ0Y5y,0.586,0.447,3,-4.699,1,0.0287,0.816,0.0,0.27699999999999997,0.441,107.851,audio_features,195452,4
26,26,Rare,Selena Gomez,Rare,2020-01-10,False,7HMmFQsKsljwTw8bS7lu19,spotify:track:7HMmFQsKsljwTw8bS7lu19,0.84,0.5429999999999999,5,-6.655,1,0.0792,0.205,4.45e-05,0.11800000000000001,0.607,114.96799999999999,audio_features,220590,4
27,27,We Got Love,Sigala,We Got Love,2019-11-01,False,35mMXfym6C9VOTUVrcKKZp,spotify:track:35mMXfym6C9VOTUVrcKKZp,0.722,0.812,9,-3.352,0,0.0924,0.0205,2.51e-05,0.131,0.657,124.90899999999999,audio_features,213041,4
28,28,Be Honest (feat. Burna Boy),Jorja Smith,Be Honest (feat. Burna Boy),2019-08-16,False,5pAbCxt9e3f81lOmjIXwzd,spotify:track:5pAbCxt9e3f81lOmjIXwzd,0.757,0.737,4,-6.728,0,0.114,0.311,0.0,0.113,0.635,98.057,audio_features,207031,4
29,29,The Last Time,The Script,The Last Time,2019-09-20,False,1maoY6K6fsTEv9fhXhBL14,spotify:track:1maoY6K6fsTEv9fhXhBL14,0.508,0.7440000000000001,5,-3.4210000000000003,1,0.0356,0.0567,0.0,0.193,0.129,132.067,audio_features,196366,4
30,30,Netflix & Chill,Fredo,Netflix & Chill,2019-11-08,True,31m40qBxoj4iMSnQLkq8nP,spotify:track:31m40qBxoj4iMSnQLkq8nP,0.8590000000000001,0.619,6,-9.434,1,0.121,0.13699999999999998,0.0,0.0933,0.631,132.01,audio_features,221818,4
31,31,Good as Hell (feat. Ariana Grande) - Remix,Lizzo,Good as Hell (feat. Ariana Grande) [Remix],2019-10-25,False,07Oz5StQ7GRoygNLaXs2pd,spotify:track:07Oz5StQ7GRoygNLaXs2pd,0.6679999999999999,0.892,5,-3.0010000000000003,0,0.0645,0.298,0.0,0.735,0.478,95.927,audio_features,159011,4
32,32,Don't Rush (feat. Headie One),Young T & Bugsey,Don't Rush (feat. Headie One),2019-11-07,True,0PXukVbYpvz40KcEFKnIw7,spotify:track:0PXukVbYpvz40KcEFKnIw7,0.961,0.461,9,-8.684,1,0.27,0.20199999999999999,0.00402,0.162,0.324,108.02799999999999,audio_features,207640,4
33,33,The Box,Roddy Ricch,Please Excuse Me For Being Antisocial,2019-12-06,True,0nbXyq5TXYPCO7pr3N8S4I,spotify:track:0nbXyq5TXYPCO7pr3N8S4I,0.8959999999999999,0.586,10,-6.687,0,0.0559,0.10400000000000001,0.0,0.79,0.642,116.971,audio_features,196653,4
34,34,Falling,Harry Styles,Fine Line,2019-12-13,False,1ZMiCix7XSAbfAJlEZWMCp,spotify:track:1ZMiCix7XSAbfAJlEZWMCp,0.5670000000000001,0.267,4,-6.502000000000001,1,0.0299,0.8390000000000001,1.46e-06,0.08900000000000001,0.0592,110.01100000000001,audio_features,240133,4
35,35,Jerry Sprunger (with T-Pain),Tory Lanez,Jerry Sprunger (with T-Pain),2019-11-08,True,0mTKJnVf6GcujyDr1PZn0Q,spotify:track:0mTKJnVf6GcujyDr1PZn0Q,0.6940000000000001,0.7440000000000001,0,-5.334,0,0.297,0.14400000000000002,0.0,0.0905,0.425,99.941,audio_features,233546,4
36,36,Lessons,Stormzy,Heavy Is The Head,2019-12-13,True,5iVGN1Th2DqyWVNIBM8Vwk,spotify:track:5iVGN1Th2DqyWVNIBM8Vwk,0.637,0.509,9,-7.985,0,0.38,0.574,0.0,0.154,0.461,94.20200000000001,audio_features,187933,4
37,37,Better Off Without You (feat. Shift K3Y),Becky Hill,Better Off Without You (feat. Shift K3Y),2020-01-10,False,3oIVK7arAFuUOCGafPLxSC,spotify:track:3oIVK7arAFuUOCGafPLxSC,0.682,0.855,7,-3.282,1,0.0401,0.0566,1e-06,0.10099999999999999,0.304,124.00399999999999,audio_features,198743,4
38,38,Floss (feat. MoStack & Not3s),AJ Tracey,AJ Tracey (Deluxe),2019-10-25,True,0LjXPuuttcYpND3IxAFww1,spotify:track:0LjXPuuttcYpND3IxAFww1,0.8270000000000001,0.486,1,-10.023,1,0.36700000000000005,0.0272,0.0,0.0502,0.3,104.92,audio_features,182280,4
39,39,Tongue Tied (with YUNGBLUD & blackbear),Marshmello,Tongue Tied (with YUNGBLUD & blackbear),2019-11-13,True,7jzldCBnJjpJM3epzJ85KE,spotify:track:7jzldCBnJjpJM3epzJ85KE,0.628,0.821,1,-2.721,0,0.0525,0.0208,0.0,0.426,0.465,93.001,audio_features,186024,4
40,40,Family,The Chainsmokers,World War Joy,2019-12-06,False,3TKpJrY9q49Mj1JOsM9zGL,spotify:track:3TKpJrY9q49Mj1JOsM9zGL,0.584,0.607,11,-6.605,1,0.0356,0.426,0.0,0.10099999999999999,0.374,117.81700000000001,audio_features,194827,4
41,41,Lucid Dreams,Juice WRLD,Goodbye & Good Riddance,2018-12-10,True,285pBltuF7vW8TeWk8hdRR,spotify:track:285pBltuF7vW8TeWk8hdRR,0.511,0.5660000000000001,6,-7.23,0,0.2,0.349,0.0,0.34,0.218,83.90299999999999,audio_features,239836,4
42,42,Used To Love (with Dean Lewis),Martin Garrix,Used To Love (with Dean Lewis),2019-10-31,False,7pWK1kMgHy5lNNiIfuRbkP,spotify:track:7pWK1kMgHy5lNNiIfuRbkP,0.6509999999999999,0.693,4,-4.7219999999999995,1,0.0375,0.45799999999999996,0.0,0.335,0.392,118.97,audio_features,236765,4
43,43,Falling,Trevor Daniel,Falling,2018-10-05,False,4TnjEaWOeW0eKTKIEvJyCa,spotify:track:4TnjEaWOeW0eKTKIEvJyCa,0.784,0.43,10,-8.756,0,0.0364,0.12300000000000001,0.0,0.0887,0.23600000000000002,127.087,audio_features,159382,4
44,44,New Dior,DigDat,New Dior,2019-11-21,True,4aRRxKxJbvIEjXWXB0l3w7,spotify:track:4aRRxKxJbvIEjXWXB0l3w7,0.7290000000000001,0.531,1,-9.568,0,0.371,0.45899999999999996,0.0,0.0693,0.384,156.132,audio_features,203128,4
45,45,Candy,Doja Cat,Amala,2018-03-30,True,1VJwtWR6z7SpZRwipI12be,spotify:track:1VJwtWR6z7SpZRwipI12be,0.6890000000000001,0.516,8,-5.857,1,0.0444,0.513,0.0,0.163,0.209,124.876,audio_features,190920,4
46,46,Roses - Imanbek Remix,SAINt JHN,Roses (Imanbek Remix),2019-10-09,True,24Yi9hE78yPEbZ4kxyoXAI,spotify:track:24Yi9hE78yPEbZ4kxyoXAI,0.77,0.7240000000000001,8,-5.484,1,0.0495,0.0167,0.0105,0.353,0.898,121.97399999999999,audio_features,176840,4
47,47,HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX,Travis Scott,JACKBOYS,2019-12-27,True,7h0d2h0fUmzbs7zeFigJPn,spotify:track:7h0d2h0fUmzbs7zeFigJPn,0.621,0.484,2,-7.0329999999999995,0,0.0333,0.0276,1.11e-06,0.111,0.159,76.532,audio_features,244874,4
48,48,SUGAR,BROCKHAMPTON,GINGER,2019-08-23,True,6U0FIYXCQ3TGrk4tFpLrEA,spotify:track:6U0FIYXCQ3TGrk4tFpLrEA,0.45299999999999996,0.5379999999999999,1,-8.212,1,0.0638,0.449,0.0,0.19,0.516,122.973,audio_features,204533,4
49,49,December,Bugzy Malone,December,2019-12-06,True,2n3NxSENFUdVRer1OcKeeZ,spotify:track:2n3NxSENFUdVRer1OcKeeZ,0.5770000000000001,0.6559999999999999,4,-7.617999999999999,0,0.32899999999999996,0.445,0.0,0.17800000000000002,0.11800000000000001,139.642,audio_features,262915,4
50,50,Mean It,Lauv,~how i'm feeling~,2019-11-14,False,3GRSqlALWISqLeNncZMbpX,spotify:track:3GRSqlALWISqLeNncZMbpX,0.746,0.45,7,-8.543,1,0.0872,0.0407,0.0,0.172,0.336,95.99799999999999,audio_features,232853,4
51,51,Loyal (feat. Drake),PARTYNEXTDOOR,Loyal (feat. Drake),2019-11-22,False,5bvnqVuq7UFl0txSlHpsfS,spotify:track:5bvnqVuq7UFl0txSlHpsfS,0.866,0.53,0,-6.347,0,0.0495,0.517,0.00159,0.0946,0.203,104.95200000000001,audio_features,197973,4
52,52,Put A Little Love On Me,Niall Horan,Put A Little Love On Me,2019-12-06,False,1hCTxutVVYvggAQcUUUZAT,spotify:track:1hCTxutVVYvggAQcUUUZAT,0.584,0.465,10,-4.88,1,0.0262,0.6779999999999999,0.0,0.106,0.299,95.969,audio_features,224586,4
53,53,If The World Was Ending,JP Saxe,If the World Was Ending,2019-10-17,False,6dTBKBqIN4324sThIkZpMj,spotify:track:6dTBKBqIN4324sThIkZpMj,0.37799999999999995,0.47,1,-10.095,1,0.19699999999999998,0.863,0.0,0.0954,0.602,75.955,audio_features,208687,4
54,54,No Idea,Don Toliver,No Idea,2019-05-29,False,3VyjsVV24RmBIbWJAeUJNu,spotify:track:3VyjsVV24RmBIbWJAeUJNu,0.6559999999999999,0.614,6,-4.973,0,0.102,0.5579999999999999,0.0008619999999999999,0.215,0.35,128.03799999999998,audio_features,153750,4
55,55,Savage,MIST,Savage,2020-01-03,True,4MYPhAqmZxyBMBFknBhZHl,spotify:track:4MYPhAqmZxyBMBFknBhZHl,0.703,0.664,1,-9.377,1,0.439,0.00971,1.23e-05,0.302,0.504,82.456,audio_features,146207,4
56,56,Yellow Hearts,Ant Saunders,Yellow Hearts,2019-06-18,False,2W4yABdLc4Jnds67Poi5Nl,spotify:track:2W4yABdLc4Jnds67Poi5Nl,0.865,0.43799999999999994,7,-8.943,1,0.0719,0.177,0.0,0.0743,0.695,129.03799999999998,audio_features,223258,4
57,57,W (feat. Gunna),Koffee,W (feat. Gunna),2019-11-26,False,6xW2g0c5uSoa3S6xk9eI4j,spotify:track:6xW2g0c5uSoa3S6xk9eI4j,0.856,0.721,6,-6.813,0,0.0779,0.17800000000000002,2.14e-05,0.0913,0.902,100.98,audio_features,230151,4
58,58,Million Bucks,JAY1,Million Bucks,2019-12-05,True,7y9nU0xWUltavzK8U1Fp5k,spotify:track:7y9nU0xWUltavzK8U1Fp5k,0.9490000000000001,0.596,1,-7.98,1,0.249,0.00735,0.0002,0.0735,0.628,105.978,audio_features,155405,4
59,59,One Night (feat. Raphaella),MK,One Night (feat. Raphaella),2019-11-15,False,4QUA94c3ycZm8dnpPih4sf,spotify:track:4QUA94c3ycZm8dnpPih4sf,0.486,0.8959999999999999,11,-6.189,0,0.0346,0.0015,0.0443,0.217,0.195,123.96700000000001,audio_features,161883,4
60,60,Link Up - Geko x Stefflon Don x Deno x Dappy,Geko,Link Up (Geko x Stefflon Don x Deno x Dappy),2019-11-21,True,1x7oxSp01uKwWT7ljXJADW,spotify:track:1x7oxSp01uKwWT7ljXJADW,0.522,0.583,5,-7.693,0,0.281,0.299,0.0,0.10800000000000001,0.736,98.012,audio_features,219133,4
61,61,French Kisses (feat. Aitch),ZieZie,French Kisses (feat. Aitch),2019-11-22,True,2jTBEuS8P9ZqVos9zecRzl,spotify:track:2jTBEuS8P9ZqVos9zecRzl,0.7609999999999999,0.545,7,-6.4910000000000005,1,0.183,0.0101,3.14e-06,0.128,0.349,107.036,audio_features,175155,4
62,62,I Feel Love,Sam Smith,I Feel Love,2019-11-01,False,29MOOOmMRPeWyPwKQFoF5t,spotify:track:29MOOOmMRPeWyPwKQFoF5t,0.7190000000000001,0.708,0,-7.417999999999999,1,0.0417,0.00645,0.201,0.064,0.256,126.015,audio_features,254453,4
63,63,Pride,Nines,Pride,2019-11-28,True,08Xo6nCF8Po792gelsNtmQ,spotify:track:08Xo6nCF8Po792gelsNtmQ,0.755,0.552,7,-9.713,1,0.146,0.17600000000000002,0.000763,0.11599999999999999,0.821,75.042,audio_features,186867,4
64,64,Change,Alz X 38,Change,2019-08-25,True,7zXa0myk5r5ex9QfXbjqhY,spotify:track:7zXa0myk5r5ex9QfXbjqhY,0.772,0.6940000000000001,5,-8.482000000000001,0,0.273,0.11,0.0,0.10300000000000001,0.21100000000000002,95.04799999999999,audio_features,174316,4
65,65,Bad To You (with Normani & Nicki Minaj),Ariana Grande,Charlie's Angels (Original Motion Picture Soundtrack),2019-11-01,False,7vJS1DPc3FzBtqBs8n3mW5,spotify:track:7vJS1DPc3FzBtqBs8n3mW5,0.727,0.583,7,-7.385,0,0.0718,0.065,0.0,0.106,0.629,147.983,audio_features,171840,4
66,66,July,Noah Cyrus,July,2019-07-31,False,5a6pdCHlWS2ekOOQ70QnAr,spotify:track:5a6pdCHlWS2ekOOQ70QnAr,0.708,0.18600000000000003,9,-8.953,0,0.0422,0.868,0.0,0.0779,0.321,72.541,audio_features,156107,4
67,67,Gangsta,Darkoo,Gangsta,2019-11-08,True,0KzhyaVtr2v4J9GVdMgCk0,spotify:track:0KzhyaVtr2v4J9GVdMgCk0,0.708,0.649,0,-7.961,1,0.306,0.36700000000000005,0.0,0.153,0.595,200.125,audio_features,216000,4
68,68,Lover (Remix) [feat. Shawn Mendes],Taylor Swift,Lover (Remix) [feat. Shawn Mendes],2019-11-13,False,3i9UVldZOE0aD0JnyfAZZ0,spotify:track:3i9UVldZOE0aD0JnyfAZZ0,0.44799999999999995,0.603,7,-7.176,1,0.064,0.433,0.0,0.0862,0.42200000000000004,205.27200000000002,audio_features,221307,3
69,69,Paper Cuts,Dave,Paper Cuts,2019-11-07,True,1gFMfqyVSXHMgvRloH2gDL,spotify:track:1gFMfqyVSXHMgvRloH2gDL,0.887,0.594,1,-7.7,1,0.294,0.204,1.54e-06,0.0858,0.6629999999999999,139.97,audio_features,179627,4
70,70,All About You,McFly,Wonderland,2005-01-01,False,1KlYwG56LQZhSoVtfpp70G,spotify:track:1KlYwG56LQZhSoVtfpp70G,0.542,0.5589999999999999,1,-5.313,1,0.0258,0.19699999999999998,0.0,0.0989,0.295,129.898,audio_features,186867,4
71,71,World of Our Own,Westlife,World of Our Own,2001-09-01,False,4SAHTVRe6EBhgAOWl49yPf,spotify:track:4SAHTVRe6EBhgAOWl49yPf,0.7070000000000001,0.7609999999999999,1,-4.635,1,0.0341,0.0163,0.0,0.0627,0.9229999999999999,97.00299999999999,audio_features,211413,4
72,72,Greatest Day,Take That,The Circus,2008-01-01,False,3LF54Y7TxU5vy3YKAIfiQ4,spotify:track:3LF54Y7TxU5vy3YKAIfiQ4,0.45799999999999996,0.703,1,-6.22,1,0.0362,0.0647,3.13e-06,0.102,0.17,110.01700000000001,audio_features,239320,4
73,73,Dancing in the Moonlight,Toploader,Dancing In The Moonlight: The Best Of Toploader,2009-04-22,False,1FHNctV68GUNLgXclG2DtR,spotify:track:1FHNctV68GUNLgXclG2DtR,0.639,0.845,10,-3.333,1,0.0372,0.0528,0.0,0.336,0.871,119.485,audio_features,233373,4
74,74,Unwritten,Natasha Bedingfield,Unwritten,2004-08-30,False,1D1nixOVWOxvNfWi0UD7VX,spotify:track:1D1nixOVWOxvNfWi0UD7VX,0.706,0.8009999999999999,5,-6.332999999999999,1,0.0399,0.00577,0.0,0.0822,0.63,100.01299999999999,audio_features,259333,4
75,75,Obviously,McFly,Room On The 3rd Floor (UK version),2004-01-01,False,2iPIMWQYcrvV6MDlnEgw4i,spotify:track:2iPIMWQYcrvV6MDlnEgw4i,0.642,0.856,1,-2.273,1,0.0314,0.193,0.0,0.11,0.755,130.583,audio_features,198880,4
76,76,Love Story,Taylor Swift,Fearless,2008-11-11,False,1vrd6UOGamcKNGnSHJQlSt,spotify:track:1vrd6UOGamcKNGnSHJQlSt,0.618,0.741,2,-3.95,1,0.031,0.17,0.0,0.0822,0.29600000000000004,118.984,audio_features,235267,4
77,77,Empire State of Mind (Part II) Broken Down,Alicia Keys,The Element Of Freedom,2009-12-15,False,5sra5UY6sD658OabHL3QtI,spotify:track:5sra5UY6sD658OabHL3QtI,0.479,0.368,6,-7.784,1,0.0341,0.7390000000000001,4.1e-05,0.11800000000000001,0.142,92.959,audio_features,216480,4
78,78,Whole Again,Atomic Kitten,Right Now,2001-01-01,False,16MJqq0vEuW6GRX6faetTm,spotify:track:16MJqq0vEuW6GRX6faetTm,0.747,0.706,4,-4.6530000000000005,1,0.0413,0.0844,0.00355,0.174,0.5670000000000001,94.01899999999999,audio_features,185013,4
79,79,Put Your Records On,Corinne Bailey Rae,Corinne Bailey Rae,2006-01-01,False,2nGFzvICaeEWjIrBrL2RAx,spotify:track:2nGFzvICaeEWjIrBrL2RAx,0.7390000000000001,0.511,9,-7.843999999999999,1,0.0362,0.16699999999999998,1.34e-06,0.133,0.542,96.038,audio_features,215360,4
80,80,Evergreen,Will Young,From Now On,2002-10-17,False,3Zg1941PbcmsxLmSaVJ3OZ,spotify:track:3Zg1941PbcmsxLmSaVJ3OZ,0.596,0.561,0,-8.452,1,0.0305,0.33,0.0,0.0922,0.40299999999999997,133.969,audio_features,252076,4
81,81,The Man Who Can't Be Moved,The Script,The Script,2008-07-14,False,4AFwnrH5atiJoAd5xS5QtR,spotify:track:4AFwnrH5atiJoAd5xS5QtR,0.605,0.629,10,-5.051,1,0.0279,0.43700000000000006,0.0,0.09699999999999999,0.308,99.89399999999999,audio_features,241373,4
82,82,When You Say Nothing At All,Ronan Keating,Ronan,2000,False,7d66u8J2iM8WXcUKdujNZJ,spotify:track:7d66u8J2iM8WXcUKdujNZJ,0.457,0.441,7,-10.687999999999999,1,0.0251,0.157,0.0,0.0816,0.42700000000000005,173.755,audio_features,256827,4
83,83,I Wish I Was a Punk Rocker (with Flowers in My Hair),Sandi Thom,Smile...It Confuses People,2006-06-05,False,4mnTMsp8Cgf9TNiQMhH11L,spotify:track:4mnTMsp8Cgf9TNiQMhH11L,0.7,0.465,4,-6.815,1,0.358,0.544,0.0,0.606,0.7190000000000001,108.102,audio_features,151640,4
84,84,The Tide Is High - Radio Mix,Atomic Kitten,Atomic Kitten,2003-01-01,False,5WuVWOngcRkMOx9RRLCvui,spotify:track:5WuVWOngcRkMOx9RRLCvui,0.7759999999999999,0.693,7,-2.528,1,0.0314,0.0234,0.0017699999999999999,0.0322,0.635,102.99600000000001,audio_features,205360,4
85,85,Red,Daniel Merriweather,Love & War,2009-01-01,False,0kiIiH6TAs3tJxmYTMaE6C,spotify:track:0kiIiH6TAs3tJxmYTMaE6C,0.358,0.675,4,-5.971,1,0.0308,0.0832,0.0,0.11599999999999999,0.126,95.76799999999999,audio_features,232973,4
86,86,Love Song,Sara Bareilles,Little Voice,2007-07-03,False,4E6cwWJWZw2zWf7VFbH7wf,spotify:track:4E6cwWJWZw2zWf7VFbH7wf,0.583,0.7859999999999999,2,-3.142,0,0.0301,0.0208,0.0,0.188,0.573,123.052,audio_features,258827,4
87,87,Home,Michael Bublé,It's Time,2005-02-08,False,3lyLqIn8mybyEFTs8JJaLf,spotify:track:3lyLqIn8mybyEFTs8JJaLf,0.608,0.37,7,-9.207,1,0.0306,0.8440000000000001,1.87e-05,0.11199999999999999,0.349,127.631,audio_features,225907,4
88,88,You've Got The Love,Florence + The Machine,You've Got The Love,2010-01-01,False,0fPf9CDFzVnHpcfld5XVtO,spotify:track:0fPf9CDFzVnHpcfld5XVtO,0.5710000000000001,0.708,6,-4.74,1,0.0329,0.004070000000000001,0.0,0.125,0.39799999999999996,109.899,audio_features,168667,4
89,89,Breakeven,The Script,The Script,2008-07-14,False,1fyysXwSGNtMeqMBLwW3SI,spotify:track:1fyysXwSGNtMeqMBLwW3SI,0.63,0.696,10,-4.501,1,0.0242,0.14400000000000002,0.0,0.0835,0.491,94.03399999999999,audio_features,261427,4
90,90,If You're Not The One,Daniel Bedingfield,Gotta Get Thru This,2002-01-01,False,7HhKuJbtiNbZsEDLNQvOnH,spotify:track:7HhKuJbtiNbZsEDLNQvOnH,0.687,0.537,10,-7.631,1,0.0294,0.5660000000000001,0.0,0.107,0.265,120.03,audio_features,257307,4
